"DataSet","Traits"
"Disease_AL","PTR"
"Disease_AL","SB"
"Disease_AL","SN"
"EYT_1_AL","DTHD"
"EYT_1_AL","DTMT"
"EYT_1_AL","GY"
"EYT_1_AL","Height"
"EYT_2_AL","DTHD"
"EYT_2_AL","DTMT"
"EYT_2_AL","GY"
"EYT_2_AL","Height"
"EYT_3_AL","DTHD"
"EYT_3_AL","DTMT"
"EYT_3_AL","GY"
"EYT_3_AL","Height"
"Groundnut_AL","NPP"
"Groundnut_AL","PYPP"
"Groundnut_AL","SYPP"
"Groundnut_AL","YPH"
"Indica_AL","GC"
"Indica_AL","GY"
"Indica_AL","PH"
"Indica_AL","PHR"
"Japonica_AL","GC"
"Japonica_AL","GY"
"Japonica_AL","PH"
"Japonica_AL","PHR"
"Maize_AL","Y"
"Wheat_1_AL","GY"
"Wheat_2_AL","GY"
"Wheat_3_AL","GY"
"Wheat_4_AL","GY"
"Wheat_5_AL","GY"
"Wheat_6_AL","GY"
